id,user_id,product_id,event_type,event_time,category_id,price,user_session,user_agent,ip_address,email,name,year_birth,education,marital_status,income,kidhome,teenhome,user_created_at,age,income_level
0000e2a6-9964-4edd-abf8-828952a3d11e,fe03a3a8-2637-4af1-940e-af53c03f3aec,4,purchase,2025-08-22 16:42:02.891745,9,105341,session_1758188522892_0,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,nguyenthaihien235@gmail.com,Nguyễn Thái Hiển,2005,Graduation,Single,2219855,1,0,2025-09-15 09:30:34.379+00,20,Medium
0000e2a6-9964-4edd-abf8-828952a3d11e_1,fe03a3a8-2637-4af1-940e-af53c03f3aec,10,view,2025-09-08 16:42:02.892039,12,152464,session_1758188522892_1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,nguyenthaihien235@gmail.com,Nguyễn Thái Hiển,2005,Graduation,Single,2219855,1,0,2025-09-15 09:30:34.379+00,20,Medium
00c4e978-548c-4676-8f7f-b0d7ef6d0cf6,a892dafa-3196-4898-919c-824aff73a005,1,purchase,2025-08-21 16:42:02.892137,11,171111,session_1758188522892_0,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,vinhn27045@gmail.com,Nguyễn Chí Vinh,2001,Basic,Single,1335542,0,0,2025-09-15 09:26:45.629+00,24,Low
00c4e978-548c-4676-8f7f-b0d7ef6d0cf6_1,a892dafa-3196-4898-919c-824aff73a005,8,view,2025-09-12 16:42:02.892159,11,122180,session_1758188522892_1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,vinhn27045@gmail.com,Nguyễn Chí Vinh,2001,Basic,Single,1335542,0,0,2025-09-15 09:26:45.629+00,24,Low
00d601b3-15ac-47b4-97a7-8be83cb96172,f182e7cb-3e12-4d11-8008-9672a4a4e670,4,view,2025-09-14 16:42:02.892225,11,132933,session_1758188522892_0,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,nguyenbaoduy@gmail.com,Nguyễn Bảo Duy,2002,Basic,Single,4127589,0,0,2025-09-15 09:29:00.921+00,23,Medium
00d601b3-15ac-47b4-97a7-8be83cb96172_1,f182e7cb-3e12-4d11-8008-9672a4a4e670,3,view,2025-09-05 16:42:02.892252,9,129590,session_1758188522892_1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,nguyenbaoduy@gmail.com,Nguyễn Bảo Duy,2002,Basic,Single,4127589,0,0,2025-09-15 09:29:00.921+00,23,Medium
00d601b3-15ac-47b4-97a7-8be83cb96172_2,f182e7cb-3e12-4d11-8008-9672a4a4e670,5,view,2025-08-25 16:42:02.892272,8,172106,session_1758188522892_2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,nguyenbaoduy@gmail.com,Nguyễn Bảo Duy,2002,Basic,Single,4127589,0,0,2025-09-15 09:29:00.921+00,23,Medium
00d601b3-15ac-47b4-97a7-8be83cb96172_3,f182e7cb-3e12-4d11-8008-9672a4a4e670,8,view,2025-08-24 16:42:02.892289,3,125476,session_1758188522892_3,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,nguyenbaoduy@gmail.com,Nguyễn Bảo Duy,2002,Basic,Single,4127589,0,0,2025-09-15 09:29:00.921+00,23,Medium
00d601b3-15ac-47b4-97a7-8be83cb96172_4,f182e7cb-3e12-4d11-8008-9672a4a4e670,10,purchase,2025-09-06 16:42:02.892306,2,146810,session_1758188522892_4,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,nguyenbaoduy@gmail.com,Nguyễn Bảo Duy,2002,Basic,Single,4127589,0,0,2025-09-15 09:29:00.921+00,23,Medium
0118cf74-c6cf-4134-8ae6-c48f0643b7b3,79bebb88-74bd-411c-9c02-0551a742a901,12,purchase,2025-09-05 16:42:02.892367,3,132913,session_1758188522892_0,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,huynhngoclamanh2005@gmail.com,Huỳnh Ngọc Lam Anh,2000,Basic,Single,2873763,0,0,2025-09-15 09:30:35.151+00,25,Medium
0118cf74-c6cf-4134-8ae6-c48f0643b7b3_1,79bebb88-74bd-411c-9c02-0551a742a901,5,view,2025-09-03 16:42:02.892384,7,177088,session_1758188522892_1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,huynhngoclamanh2005@gmail.com,Huỳnh Ngọc Lam Anh,2000,Basic,Single,2873763,0,0,2025-09-15 09:30:35.151+00,25,Medium
0118cf74-c6cf-4134-8ae6-c48f0643b7b3_2,79bebb88-74bd-411c-9c02-0551a742a901,6,purchase,2025-09-03 16:42:02.892399,6,147042,session_1758188522892_2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,huynhngoclamanh2005@gmail.com,Huỳnh Ngọc Lam Anh,2000,Basic,Single,2873763,0,0,2025-09-15 09:30:35.151+00,25,Medium
0118cf74-c6cf-4134-8ae6-c48f0643b7b3_3,79bebb88-74bd-411c-9c02-0551a742a901,11,view,2025-09-13 16:42:02.892415,11,168406,session_1758188522892_3,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,huynhngoclamanh2005@gmail.com,Huỳnh Ngọc Lam Anh,2000,Basic,Single,2873763,0,0,2025-09-15 09:30:35.151+00,25,Medium
013672bc-f077-432e-84c1-d47cc1ac7809,9e83882a-3ae8-4770-b4c0-4dedfe70290c,12,purchase,2025-09-18 16:42:02.892480,3,138091,session_1758188522892_0,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,cuonglephu250@gmail.com,Lê Phú Cường,2000,Basic,Single,4721744,0,0,2025-09-15 09:32:19.596+00,25,Medium
013672bc-f077-432e-84c1-d47cc1ac7809_1,9e83882a-3ae8-4770-b4c0-4dedfe70290c,5,view,2025-08-25 16:42:02.892497,7,187384,session_1758188522892_1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,cuonglephu250@gmail.com,Lê Phú Cường,2000,Basic,Single,4721744,0,0,2025-09-15 09:32:19.596+00,25,Medium
013672bc-f077-432e-84c1-d47cc1ac7809_2,9e83882a-3ae8-4770-b4c0-4dedfe70290c,5,view,2025-09-15 16:42:02.892518,7,169164,session_1758188522892_2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,cuonglephu250@gmail.com,Lê Phú Cường,2000,Basic,Single,4721744,0,0,2025-09-15 09:32:19.596+00,25,Medium
023385c1-bdaa-4f0e-a304-5f8f7333492b,76054c33-0098-479c-b2a1-2c0e4120e409,8,view,2025-09-08 16:42:02.892580,11,169192,session_1758188522892_0,"Mozilla/5.0 (Linux; Android 15; V2247 Build/AP3A.240905.015.A2_NNCS;) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/140.0.7339.51 Mobile Safari/537.36 Zalo android/25081840 ZaloTheme/light ZaloLanguage/vi",,nguyenthihuyennhi2705@gmail.com,Nguyễn Thị Huyền Nhi,2003,Basic,Single,2965712,0,0,2025-09-15 09:27:49.812+00,22,Medium
023385c1-bdaa-4f0e-a304-5f8f7333492b_1,76054c33-0098-479c-b2a1-2c0e4120e409,2,purchase,2025-09-01 16:42:02.892597,9,109577,session_1758188522892_1,"Mozilla/5.0 (Linux; Android 15; V2247 Build/AP3A.240905.015.A2_NNCS;) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/140.0.7339.51 Mobile Safari/537.36 Zalo android/25081840 ZaloTheme/light ZaloLanguage/vi",,nguyenthihuyennhi2705@gmail.com,Nguyễn Thị Huyền Nhi,2003,Basic,Single,2965712,0,0,2025-09-15 09:27:49.812+00,22,Medium
024a3a8b-8272-476d-8a52-6ff9ab30ee91,9d832025-ad0a-49c8-beb6-7d0555ed5635,1,view,2025-08-23 16:42:02.892648,11,158768,session_1758188522892_0,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_11 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Zalo iOS/674 ZaloTheme/light ZaloLanguage/vn",,anhannh2@gmail.com,Phạm thị trâm anh,2000,Graduation,Single,1306436,0,0,2025-09-15 09:40:36.336+00,25,Low
024a3a8b-8272-476d-8a52-6ff9ab30ee91_1,9d832025-ad0a-49c8-beb6-7d0555ed5635,4,view,2025-09-03 16:42:02.892664,7,149891,session_1758188522892_1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_11 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Zalo iOS/674 ZaloTheme/light ZaloLanguage/vn",,anhannh2@gmail.com,Phạm thị trâm anh,2000,Graduation,Single,1306436,0,0,2025-09-15 09:40:36.336+00,25,Low
024a3a8b-8272-476d-8a52-6ff9ab30ee91_2,9d832025-ad0a-49c8-beb6-7d0555ed5635,9,view,2025-09-17 16:42:02.892680,10,165443,session_1758188522892_2,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_11 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Zalo iOS/674 ZaloTheme/light ZaloLanguage/vn",,anhannh2@gmail.com,Phạm thị trâm anh,2000,Graduation,Single,1306436,0,0,2025-09-15 09:40:36.336+00,25,Low
02aeefce-6f3d-4c0f-abf2-8a511177ffba,8f2696b4-0a20-4fc0-a123-dd6370cc74b5,4,purchase,2025-09-08 16:42:02.892729,5,115116,session_1758188522892_0,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,kien122024@gmail.com,Nguyễn Trung Kiên,2006,Graduation,Single,4065595,0,0,2025-09-15 09:32:59.704+00,19,Medium
02aeefce-6f3d-4c0f-abf2-8a511177ffba_1,8f2696b4-0a20-4fc0-a123-dd6370cc74b5,10,view,2025-09-17 16:42:02.892745,5,125908,session_1758188522892_1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,kien122024@gmail.com,Nguyễn Trung Kiên,2006,Graduation,Single,4065595,0,0,2025-09-15 09:32:59.704+00,19,Medium
